Analysis Type,Trace Type,Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Cohen's Kappa
Dynamic Analysis,CombinedTraces,Random Forest,0.96,0.9601,0.96,0.96,0.9937,
Dynamic Analysis,CombinedTraces,Decision Tree,0.9402,0.9436,0.9402,0.9401,0.9851,
Dynamic Analysis,CombinedTraces,SVM,0.9528,0.9531,0.9528,0.9528,0.9862,
Dynamic Analysis,CombinedTraces,Logistic Regression,0.9505,0.9505,0.9505,0.9505,0.9893,
Dynamic Analysis,CombinedTraces,KNN,0.8337,0.8337,0.8337,0.8337,0.911,
Dynamic Analysis,CombinedTraces,Gradient Boosting,0.9411,0.9443,0.9411,0.941,0.9853,
Dynamic Analysis,FiletopTraces,Random Forest,0.9201,0.9211,0.9201,0.9201,0.9776,
Dynamic Analysis,FiletopTraces,Decision Tree,0.8688,0.8688,0.8688,0.8688,0.8709,
Dynamic Analysis,FiletopTraces,SVM,0.8977,0.8986,0.8977,0.8977,0.963,
Dynamic Analysis,FiletopTraces,Logistic Regression,0.9052,0.9053,0.9052,0.9052,0.9693,
Dynamic Analysis,FiletopTraces,KNN,0.8958,0.8963,0.8958,0.8958,0.956,
Dynamic Analysis,FiletopTraces,Gradient Boosting,0.8739,0.8742,0.8739,0.8739,0.9546,
Dynamic Analysis,InstallTraces,Random Forest,0.6945,0.8029,0.6945,0.6647,0.7385,
Dynamic Analysis,InstallTraces,Decision Tree,0.695,0.8084,0.695,0.6643,0.7239,
Dynamic Analysis,InstallTraces,SVM,0.6866,0.8006,0.6866,0.654,0.7197,
Dynamic Analysis,InstallTraces,Logistic Regression,0.6987,0.8067,0.6987,0.6698,0.7455,
Dynamic Analysis,InstallTraces,KNN,0.6506,0.7858,0.6506,0.6041,0.6708,
Dynamic Analysis,InstallTraces,Gradient Boosting,0.6716,0.7932,0.6716,0.6339,0.7002,
Dynamic Analysis,OpensnoopTraces,Random Forest,0.9355,0.9363,0.9355,0.9355,0.9827,
Dynamic Analysis,OpensnoopTraces,Decision Tree,0.9136,0.9137,0.9136,0.9136,0.9136,
Dynamic Analysis,OpensnoopTraces,SVM,0.8006,0.8166,0.8006,0.798,0.8652,
Dynamic Analysis,OpensnoopTraces,Logistic Regression,0.801,0.8086,0.801,0.7998,0.8628,
Dynamic Analysis,OpensnoopTraces,KNN,0.8898,0.8899,0.8898,0.8898,0.9536,
Dynamic Analysis,OpensnoopTraces,Gradient Boosting,0.9155,0.9167,0.9155,0.9154,0.9764,
Dynamic Analysis,PatternTraces,Random Forest,0.8851,0.8851,0.8851,0.8851,0.9432,
Dynamic Analysis,PatternTraces,Decision Tree,0.8842,0.8842,0.8842,0.8842,0.9182,
Dynamic Analysis,PatternTraces,SVM,0.8557,0.8558,0.8557,0.8557,0.9064,
Dynamic Analysis,PatternTraces,Logistic Regression,0.8589,0.859,0.8589,0.8589,0.9231,
Dynamic Analysis,PatternTraces,KNN,0.8702,0.8712,0.8702,0.8701,0.9217,
Dynamic Analysis,PatternTraces,Gradient Boosting,0.8561,0.8562,0.8561,0.8561,0.9267,
Dynamic Analysis,SystemCallTraces,Random Forest,0.9463,0.9495,0.9463,0.9462,0.991,
Dynamic Analysis,SystemCallTraces,Decision Tree,0.9463,0.9495,0.9463,0.9462,0.9905,
Dynamic Analysis,SystemCallTraces,SVM,0.9454,0.9487,0.9454,0.9453,0.9884,
Dynamic Analysis,SystemCallTraces,Logistic Regression,0.9407,0.9432,0.9407,0.9406,0.9909,
Dynamic Analysis,SystemCallTraces,KNN,0.943,0.9455,0.943,0.9429,0.9893,
Dynamic Analysis,SystemCallTraces,Gradient Boosting,0.9458,0.9489,0.9458,0.9457,0.9915,
Dynamic Analysis,TCPTraces,Random Forest,0.8375,0.8375,0.8375,0.8375,0.9185,
Dynamic Analysis,TCPTraces,Decision Tree,0.8113,0.8121,0.8113,0.8112,0.82,
Dynamic Analysis,TCPTraces,SVM,0.8048,0.8056,0.8048,0.8046,0.8788,
Dynamic Analysis,TCPTraces,Logistic Regression,0.822,0.8225,0.822,0.822,0.9098,
Dynamic Analysis,TCPTraces,KNN,0.61,0.6152,0.61,0.6053,0.6524,
Dynamic Analysis,TCPTraces,Gradient Boosting,0.8048,0.8072,0.8048,0.8044,0.8783,
Metadata Analysis,—,Random Forest,0.8445,0.8452,0.8445,0.8444,0.9079,
Metadata Analysis,—,Decision Tree,0.8393,0.8402,0.8393,0.8392,0.8978,
Metadata Analysis,—,SVM,0.8048,0.8092,0.8048,0.804,0.8472,
Metadata Analysis,—,Logistic Regression,0.8076,0.8134,0.8076,0.8066,0.8799,
Metadata Analysis,—,KNN,0.8365,0.8401,0.8365,0.8361,0.8593,
Metadata Analysis,—,Gradient Boosting,0.8347,0.8378,0.8347,0.8343,0.9049,
Static Analysis,—,Random Forest,0.95,0.952,0.95,0.95,0.9929,
Static Analysis,—,Decision Tree,0.95,0.952,0.95,0.95,0.9929,
Static Analysis,—,SVM,0.95,0.952,0.95,0.95,0.987,
Static Analysis,—,Logistic Regression,0.9491,0.9512,0.9491,0.949,0.9929,
Static Analysis,—,KNN,0.9099,0.9225,0.9099,0.9092,0.9874,
Static Analysis,—,Gradient Boosting,0.95,0.952,0.95,0.95,0.9928,
Dynamic Analysis,CombinedTraces,Transformer,0.9351,0.935,0.9304,0.9327,0.9349,0.87
Dynamic Analysis,CombinedTraces,CNN (best val acc),0.9528,,,,,
